#k	TruePositives	FalsePositives	TrueNegatives	FalseNegatives	Precision	Recall	Accuracy	F-measure	HammingLoss
6	3	10	416	66	0.230769230769231	0.0454545454545455	0.0454545454545455	0.0606060606060606	0.153535353535354
6	0	1	427	67	0	0	0	0	0.137373737373737
7	5	3	482	80	0.625	0.0701754385964912	0.0701754385964912	0.087719298245614	0.145614035087719
7	6	0	492	72	1	0.0855263157894737	0.0855263157894737	0.107017543859649	0.126315789473684
7	0	0	497	73	NaN	0	0	0	0.128070175438597
7	11	2	490	67	0.846153846153846	0.162280701754386	0.162280701754386	0.201754385964912	0.121052631578947
7	2	0	488	80	1	0.0153508771929825	0.0153508771929825	0.0236842105263158	0.140350877192982
7	5	0	489	76	1	0.0701754385964912	0.0701754385964912	0.087719298245614	0.133333333333333
7	0	0	486	84	NaN	0	0	0	0.147368421052632
7	5	22	465	78	0.185185185185185	0.0855263157894737	0.0855263157894737	0.0982456140350877	0.175438596491228
7	11	0	489	70	1	0.142543859649123	0.142543859649123	0.185964912280702	0.12280701754386
7	4	1	483	82	0.8	0.0307017543859649	0.0307017543859649	0.0473684210526316	0.145614035087719
8	6	0	567	87	1	0.0757575757575757	0.0757575757575757	0.0946969696969697	0.131818181818182
8	6	2	561	91	0.714285714285714	0.0606060606060606	0.0606060606060606	0.0787878787878788	0.140909090909091
8	0	0	569	91	NaN	0	0	0	0.137878787878788
8	8	3	566	83	0.75	0.0852272727272727	0.0833333333333333	0.109090909090909	0.13030303030303
8	4	3	564	89	0.5	0.0454545454545455	0.0454545454545455	0.053030303030303	0.139393939393939
8	2	1	567	90	0.666666666666667	0.0227272727272727	0.0227272727272727	0.0303030303030303	0.137878787878788
8	18	4	567	71	0.80952380952381	0.234848484848485	0.234848484848485	0.28030303030303	0.113636363636364
8	9	1	566	84	0.9	0.100378787878788	0.100378787878788	0.13030303030303	0.128787878787879
8	0	0	562	98	NaN	0	0	0	0.148484848484849
8	15	1	566	78	0.9	0.136363636363636	0.136363636363636	0.158333333333333	0.11969696969697
9	1	0	623	111	1	0.00510204081632653	0.00510204081632653	0.00816326530612245	0.151020408163265
9	8	2	626	99	0.888888888888889	0.0697278911564626	0.0697278911564626	0.0965986394557823	0.137414965986395
9	2	0	631	102	1	0.0119047619047619	0.0119047619047619	0.0183673469387755	0.138775510204082
9	18	3	628	86	0.9	0.197278911564626	0.197278911564626	0.251700680272109	0.12108843537415
9	24	5	619	87	0.857142857142857	0.215986394557823	0.204081632653061	0.256462585034014	0.125170068027211
9	10	1	630	94	0.909090909090909	0.0930515063168125	0.0930515063168125	0.122108843537415	0.129251700680272
9	2	9	622	102	0.181818181818182	0.0170068027210884	0.0170068027210884	0.0238095238095238	0.151020408163265
9	10	4	625	96	0.714285714285714	0.100340136054422	0.100340136054422	0.130612244897959	0.136054421768708
9	18	1	623	93	0.966666666666667	0.17687074829932	0.175170068027211	0.210884353741497	0.127891156462585
9	0	3	626	106	0	0	0	0	0.148299319727891
10	14	0	712	99	1	0.133333333333333	0.133333333333333	0.148484848484849	0.12
10	1	0	713	111	1	0.00454545454545455	0.00454545454545455	0.00727272727272727	0.134545454545455
10	33	4	696	92	0.92	0.243939393939394	0.236363636363636	0.298008658008658	0.116363636363636
10	1	0	712	112	1	0.00606060606060606	0.00606060606060606	0.00909090909090909	0.135757575757576
