#k	TruePositives	FalsePositives	TrueNegatives	FalseNegatives	Precision	Recall	Accuracy	F-measure	HammingLoss
70	623	246	4738	198	0.764675925925926	0.76937984496124	0.612273901808785	0.704786514088841	0.0764857881136951
70	632	273	4702	198	0.754512659058114	0.764550264550265	0.603759074689307	0.698530338452819	0.0811369509043928
70	631	269	4711	194	0.763566195709052	0.776055124892334	0.611080349452442	0.705587062951405	0.0797588285960379
70	629	290	4693	193	0.738337257980115	0.774824658545589	0.600596776178171	0.695621375466337	0.0832041343669251
70	635	276	4699	195	0.73619953416149	0.775101513473607	0.606466100652147	0.701093810008539	0.0811369509043928
70	641	278	4707	179	0.742162162162162	0.794050695213486	0.618469299864648	0.713701242771011	0.0787252368647717
70	629	242	4738	196	0.770289855072464	0.778116156023133	0.628165374677002	0.720322083887976	0.0754521963824289
70	663	276	4698	168	0.75566037735849	0.811714039621017	0.63931955211025	0.730673475247119	0.0764857881136951
70	627	256	4728	194	0.757733229531595	0.775753660637381	0.613578196136336	0.710517131447365	0.0775193798449612
71	652	298	4752	178	0.735423925667828	0.795493197278912	0.605199222546161	0.703092330005596	0.080952380952381
71	641	286	4757	196	0.748410535876476	0.776573129251701	0.60875850340136	0.701386864269518	0.0819727891156463
71	639	288	4764	189	0.734417344173442	0.779883381924199	0.602629980563654	0.698540249433107	0.0811224489795918
71	620	271	4795	194	0.748124679979519	0.779306365403304	0.61324101068999	0.706070545101158	0.0790816326530612
71	638	282	4769	191	0.744919786096256	0.779336734693878	0.610756802721088	0.707272432782638	0.0804421768707483
71	637	261	4771	211	0.757481134530315	0.758928571428572	0.602994412050535	0.696874723915541	0.0802721088435374
71	637	271	4773	199	0.756501831501831	0.776330174927114	0.608600583090379	0.700318601466561	0.0799319727891157
71	623	274	4783	200	0.747311616954474	0.772236394557823	0.606644800777454	0.69897830344259	0.0806122448979592
71	632	263	4791	194	0.752355072463768	0.775206511175899	0.616666666666667	0.703498542274053	0.0777210884353741
71	651	277	4764	188	0.761840757808499	0.788174198250729	0.618203352769679	0.714169022587391	0.0790816326530612
72	641	288	4848	193	0.741422222222222	0.772942091409428	0.60536013400335	0.698533250668929	0.080569514237856
72	640	241	4883	206	0.776523297491039	0.76980138789184	0.621643933955492	0.710524846454495	0.0748743718592965
72	653	246	4886	185	0.772960992907801	0.784876764776263	0.627925340990667	0.720400523541227	0.0721943048576214
72	647	305	4820	198	0.730331541218638	0.775664034458004	0.59359296482412	0.688868947914174	0.0842546063651591
72	634	271	4864	201	0.75242563513341	0.775454654223499	0.60875807609476	0.701396593356393	0.0790619765494137
72	627	254	4890	199	0.763746031746032	0.768670734625509	0.61558387173965	0.706018911295294	0.0758793969849246
72	660	284	4840	186	0.753787878787879	0.787179947355827	0.613059344340751	0.707376166547022	0.0787269681742044
72	627	265	4863	215	0.752700972862263	0.762688442211055	0.604199569274946	0.696546948305743	0.0804020100502513
72	643	274	4852	201	0.751209473150963	0.773151471643934	0.613579803780809	0.705119573335654	0.0795644891122278
72	639	270	4851	210	0.758288770053476	0.766600861450108	0.608399138549893	0.702755996097706	0.0804020100502513
73	652	291	4903	199	0.74671052631579	0.77782701169798	0.600531726338178	0.698296506361023	0.0810587262200165
73	653	274	4926	192	0.749968671679198	0.780721966205837	0.616093583835519	0.707232194328969	0.0770885028949545
73	658	299	4893	195	0.737151606049243	0.779274488951908	0.602989483634645	0.699067241002725	0.0817204301075269
73	647	284	4901	213	0.757953529937444	0.756469337114498	0.594275079758951	0.690279406284369	0.0822167080231596
73	663	323	4866	193	0.722465635738832	0.78394777265745	0.59829847571783	0.700066958131475	0.0853598014888338
73	655	284	4912	194	0.74341412657608	0.794458229942101	0.625197920359211	0.718573720186624	0.0790736145574855
73	653	266	4915	211	0.767644110275689	0.769762495568947	0.613529481271416	0.708094772610902	0.0789081885856079
73	659	278	4908	200	0.750090334236676	0.773277797471346	0.605730828311473	0.693396746622554	0.0790736145574855
73	646	281	4917	201	0.746212121212121	0.770447831738154	0.594517310646343	0.691754454533611	0.0797353184449959
73	649	256	4942	198	0.76231310466139	0.778299657331915	0.621599905470873	0.710948370625791	0.0751033912324235
74	666	297	4969	203	0.748388278388278	0.775992548608686	0.611235300966352	0.703592509093732	0.0814995925020375
74	661	306	4967	201	0.733116883116883	0.783735009896379	0.599464431249272	0.696720611635038	0.082640586797066
74	665	285	4978	207	0.754079828217759	0.778030038421236	0.604977296542089	0.698525951093189	0.0801955990220049
74	667	290	4976	202	0.744041482572411	0.77334381185237	0.603184305507044	0.698820901999387	0.0801955990220049
74	659	270	4998	208	0.763656550703183	0.77415880777739	0.620462219117475	0.710554902853192	0.0779136104319478
74	677	307	4949	202	0.747345517841601	0.776138083595296	0.602136453603446	0.697184532392357	0.0829665851670742
74	665	295	4974	201	0.746146293568974	0.778233787402491	0.608807777389684	0.703986423790825	0.0808475957620212
74	680	306	4951	198	0.73768221574344	0.786383746652695	0.611415764349749	0.707551060729545	0.0821515892420538
74	660	274	4998	203	0.759307359307359	0.775707300034928	0.612347188264059	0.705776768735205	0.0777506112469438
74	664	278	4991	202	0.759266917293233	0.778321108394458	0.611380835952963	0.704126137377972	0.078239608801956
75	654	275	5051	230	0.768598853153827	0.75865539452496	0.600293305728088	0.695095015022552	0.0813204508856683
75	662	290	5060	198	0.756304664723032	0.783327582240626	0.616758684149988	0.710622965333111	0.0785829307568438
75	642	296	5035	237	0.736131110269041	0.74120082815735	0.576719576719577	0.669794188634769	0.085829307568438
75	677	278	5044	211	0.768186292604897	0.782206119162641	0.619858523119392	0.712271611909294	0.078743961352657
75	681	294	5034	201	0.751721611721612	0.77890499194847	0.609190246146768	0.70483736606925	0.0797101449275362
75	671	327	5005	207	0.720716112531969	0.776805843110191	0.588929146537842	0.688946399815966	0.0859903381642512
75	682	296	5031	201	0.756347181729835	0.782119852772027	0.615102369450196	0.708571742267395	0.0800322061191626
75	668	289	5042	211	0.744299214531173	0.768633540372671	0.606285944329422	0.698171849621126	0.0805152979066023
75	671	305	5021	213	0.740193602693602	0.779221302047389	0.607211870255348	0.705998389694042	0.0834138486312399
75	661	264	5072	213	0.76882951653944	0.772946859903382	0.614251207729468	0.71054366996396	0.0768115942028986
