#k	TruePositives	FalsePositives	TrueNegatives	FalseNegatives	Precision	Recall	Accuracy	F-measure	HammingLoss
6	26	3	426	40	0.9	0.366161616161616	0.358585858585859	0.425252525252525	0.0868686868686869
6	23	3	423	46	0.888888888888889	0.361111111111111	0.340909090909091	0.38989898989899	0.098989898989899
6	32	1	424	38	0.956521739130435	0.452020202020202	0.452020202020202	0.523953823953824	0.0787878787878788
6	18	1	424	52	0.966666666666667	0.265151515151515	0.26010101010101	0.314141414141414	0.107070707070707
6	32	1	417	45	0.981481481481482	0.373737373737374	0.363636363636364	0.421212121212121	0.0929292929292929
6	29	0	418	48	1	0.376262626262626	0.376262626262626	0.428282828282828	0.096969696969697
6	35	4	417	39	0.884615384615385	0.47979797979798	0.45959595959596	0.541125541125541	0.0868686868686869
6	39	6	417	33	0.891025641025641	0.532828282828283	0.492424242424242	0.578499278499279	0.0787878787878788
6	28	0	419	48	1	0.409090909090909	0.409090909090909	0.482828282828283	0.096969696969697
7	33	2	490	45	0.954545454545455	0.410087719298246	0.401315789473684	0.454761904761905	0.0824561403508772
7	29	3	486	52	0.962121212121212	0.375	0.357456140350877	0.42280701754386	0.0964912280701754
7	27	3	495	45	0.916666666666667	0.359649122807018	0.342105263157895	0.396491228070176	0.0842105263157895
7	26	2	482	60	0.958333333333333	0.291666666666667	0.274122807017544	0.318421052631579	0.108771929824561
7	34	4	486	46	0.891025641025641	0.412280701754386	0.401315789473684	0.47280701754386	0.087719298245614
7	32	3	489	46	0.932098765432099	0.473684210526316	0.462719298245614	0.526315789473684	0.0859649122807018
7	35	2	488	45	0.956521739130435	0.425438596491228	0.407894736842105	0.471052631578947	0.0824561403508772
7	29	1	487	53	0.978260869565217	0.350877192982456	0.349561403508772	0.425438596491228	0.0947368421052632
7	41	3	487	39	0.963333333333333	0.519736842105263	0.498245614035088	0.550187969924812	0.0736842105263158
7	31	4	485	50	0.876811594202898	0.368421052631579	0.355263157894737	0.413784461152882	0.0947368421052632
8	34	1	573	52	0.982758620689655	0.443181818181818	0.439393939393939	0.503787878787879	0.0803030303030303
8	37	4	564	55	0.896551724137931	0.410984848484848	0.410984848484848	0.465909090909091	0.0893939393939394
8	40	4	563	53	0.910919540229885	0.441287878787879	0.428030303030303	0.484632034632035	0.0863636363636364
8	45	3	565	47	0.948275862068966	0.458333333333333	0.446969696969697	0.512878787878788	0.0757575757575758
8	27	0	568	65	1	0.3125	0.3125	0.368181818181818	0.0984848484848485
8	50	3	564	43	0.947619047619048	0.537878787878788	0.526515151515151	0.608658008658009	0.0696969696969697
8	60	9	554	37	0.896396396396397	0.626136363636364	0.576893939393939	0.657106782106782	0.0696969696969697
8	58	6	552	44	0.932380952380953	0.568181818181818	0.554166666666667	0.620743145743146	0.0757575757575758
8	44	5	558	53	0.927777777777778	0.435606060606061	0.418939393939394	0.496320346320346	0.0878787878787879
8	46	4	564	46	0.953333333333333	0.507575757575758	0.485984848484849	0.549404761904762	0.0757575757575758
9	37	3	626	69	0.956989247311828	0.369047619047619	0.352040816326531	0.435374149659864	0.0979591836734694
9	58	8	619	50	0.883771929824561	0.522108843537415	0.496598639455782	0.567152575315841	0.0789115646258503
9	51	3	625	56	0.956989247311828	0.469387755102041	0.459183673469388	0.513896987366375	0.0802721088435374
9	47	3	631	54	0.961111111111111	0.435374149659864	0.423469387755102	0.482312925170068	0.0775510204081633
9	41	3	632	59	0.956989247311828	0.428571428571429	0.414965986394558	0.480952380952381	0.0843537414965986
9	38	3	633	61	0.933333333333333	0.387755102040816	0.38265306122449	0.444897959183673	0.0870748299319728
9	43	2	628	62	0.95	0.431972789115646	0.421768707482993	0.475315840621963	0.0870748299319728
9	50	4	630	51	0.942857142857143	0.469387755102041	0.459863945578231	0.531972789115646	0.0748299319727891
9	40	3	633	59	0.940860215053763	0.44047619047619	0.435034013605442	0.48581146744412	0.0843537414965986
9	39	3	630	63	0.936781609195402	0.377551020408163	0.370748299319728	0.429931972789116	0.0897959183673469
10	62	5	706	52	0.912037037037037	0.483333333333333	0.474242424242424	0.524069264069264	0.0690909090909091
10	69	9	690	57	0.904761904761905	0.566666666666667	0.513636363636364	0.592554112554113	0.08
10	69	2	691	63	0.98125	0.506060606060606	0.500606060606061	0.56961038961039	0.0787878787878788
10	50	5	703	67	0.921052631578947	0.448484848484848	0.436363636363636	0.504675324675325	0.0872727272727273
10	55	2	701	67	0.977477477477477	0.439393939393939	0.433333333333333	0.507099567099567	0.0836363636363636
10	49	4	707	65	0.951612903225806	0.427272727272727	0.412121212121212	0.458008658008658	0.0836363636363636
10	56	2	713	54	0.964912280701754	0.489393939393939	0.486363636363636	0.545454545454545	0.0678787878787879
