#k	TruePositives	FalsePositives	TrueNegatives	FalseNegatives	Precision	Recall	Accuracy	F-measure	HammingLoss
5	174	62	6714	940	0.741061452513967	0.150543183052689	0.143033677349267	0.179950509988533	0.126996197718631
5	76	73	6703	1038	0.517730496453901	0.0698669201520913	0.0687579214195184	0.0894169835234474	0.140811153358682
6	146	177	6519	958	0.448497854077253	0.129029304029304	0.108708791208791	0.143869047619048	0.145512820512821
6	82	86	6607	1025	0.483091787439613	0.0831272893772894	0.0771978021978022	0.0947115384615384	0.142435897435897
6	74	118	6578	1030	0.4	0.0682692307692308	0.0631089743589743	0.0826923076923076	0.147179487179487
6	187	180	6517	916	0.513204225352113	0.166684981684982	0.151588827838828	0.198145604395605	0.140512820512821
6	126	97	6600	977	0.577922077922078	0.12415293040293	0.102870879120879	0.134647435897436	0.137692307692308
6	168	100	6604	928	0.644329896907216	0.141364468864469	0.130819597069597	0.168099816849817	0.131794871794872
6	187	103	6601	909	0.6453125	0.159010989010989	0.129075091575092	0.165593711843712	0.12974358974359
6	177	134	6567	922	0.562684365781711	0.154940476190476	0.134748168498169	0.178721001221001	0.135384615384615
6	144	232	6467	957	0.385416666666667	0.128044871794872	0.107115384615385	0.139084249084249	0.152435897435897
6	149	94	6609	948	0.623381877022654	0.136858974358974	0.126666666666667	0.166442307692308	0.133589743589744
7	163	268	6362	932	0.386328125	0.150809061488673	0.115002311604253	0.154257975034674	0.155339805825243
7	150	113	6520	942	0.583724569640063	0.13705501618123	0.127443365695793	0.166148867313916	0.136569579288026
7	136	93	6531	965	0.601374570446735	0.120711974110032	0.116084142394822	0.149754969949145	0.136957928802589
7	129	36	6602	958	0.772222222222222	0.107642163661581	0.103499768839575	0.129009092310063	0.128673139158576
7	181	227	6405	912	0.460093896713615	0.163268608414239	0.143300970873786	0.186195099398983	0.147443365695793
7	126	143	6487	969	0.455246913580247	0.13042071197411	0.115533980582524	0.145649560795192	0.143948220064725
7	202	128	6504	891	0.598646723646724	0.180115580212668	0.157656033287101	0.204119278779473	0.131909385113269
7	134	82	6552	957	0.621993127147766	0.124595469255663	0.120873786407767	0.156181229773463	0.134498381877023
7	192	68	6564	901	0.732993197278912	0.176153490522423	0.166218215441516	0.204335028509786	0.125436893203883
